아이디,이름,,,
int,string,enum:CharacterPartsCategory,enum:CharacterPartsType,string
Id,NameId,Category,PartsType,PartsName
80000,PARTS_RACE_HEAD_DARKELF,Race,Head,DarkElf
80001,PARTS_RACE_EARS_DARKELF,Race,Ears,DarkElf
80002,PARTS_RACE_EYES_DARKELF,Race,Eyes,DarkElf
80003,PARTS_RACE_BODY_DARKELF,Race,Body,DarkElf
80004,PARTS_RACE_ARMS_DARKELF,Race,Arms,DarkElf
80005,PARTS_RACE_HEAD_DEMIGOD,Race,Head,Demigod
80006,PARTS_RACE_EARS_DEMIGOD,Race,Ears,Demigod
80007,PARTS_RACE_EYES_DEMIGOD,Race,Eyes,Demigod
80008,PARTS_RACE_BODY_DEMIGOD,Race,Body,Demigod
80009,PARTS_RACE_ARMS_DEMIGOD,Race,Arms,Demigod
80010,PARTS_RACE_HEAD_DEMON,Race,Head,Demon
80011,PARTS_RACE_EARS_DEMON,Race,Ears,Demon
80012,PARTS_RACE_EYES_DEMON,Race,Eyes,Demon
80013,PARTS_RACE_BODY_DEMON,Race,Body,Demon
80014,PARTS_RACE_ARMS_DEMON,Race,Arms,Demon
80015,PARTS_RACE_HORNS_DEMON,Race,Horns,Demon
80016,PARTS_RACE_HEAD_ELF,Race,Head,Elf
80017,PARTS_RACE_EARS_ELF,Race,Ears,Elf
80018,PARTS_RACE_EYES_ELF,Race,Eyes,Elf
80019,PARTS_RACE_BODY_ELF,Race,Body,Elf
80020,PARTS_RACE_ARMS_ELF,Race,Arms,Elf
80021,PARTS_RACE_HEAD_FIRELIZARD,Race,Head,FireLizard
80022,PARTS_RACE_EARS_FIRELIZARD,Race,Ears,FireLizard
80023,PARTS_RACE_EYES_FIRELIZARD,Race,Eyes,FireLizard
80024,PARTS_RACE_BODY_FIRELIZARD,Race,Body,FireLizard
80025,PARTS_RACE_ARMS_FIRELIZARD,Race,Arms,FireLizard
80026,PARTS_RACE_HEAD_FURRY,Race,Head,Furry
80027,PARTS_RACE_EARS_FURRY,Race,Ears,Furry
80028,PARTS_RACE_EYES_FURRY,Race,Eyes,Furry
80029,PARTS_RACE_BODY_FURRY,Race,Body,Furry
80030,PARTS_RACE_ARMS_FURRY,Race,Arms,Furry
80031,PARTS_RACE_HEAD_GOBLIN,Race,Head,Goblin
80032,PARTS_RACE_EARS_GOBLIN,Race,Ears,Goblin
80033,PARTS_RACE_EYES_GOBLIN,Race,Eyes,Goblin
80034,PARTS_RACE_BODY_GOBLIN,Race,Body,Goblin
80035,PARTS_RACE_ARMS_GOBLIN,Race,Arms,Goblin
80036,PARTS_RACE_HEAD_HUMAN,Race,Head,Human
80037,PARTS_RACE_EARS_HUMAN,Race,Ears,Human
80038,PARTS_RACE_EYES_HUMAN,Race,Eyes,Human
80039,PARTS_RACE_BODY_HUMAN,Race,Body,Human
80040,PARTS_RACE_ARMS_HUMAN,Race,Arms,Human
80041,PARTS_RACE_HEAD_LIZARD,Race,Head,Lizard
80042,PARTS_RACE_EARS_LIZARD,Race,Ears,Lizard
80043,PARTS_RACE_EYES_LIZARD,Race,Eyes,Lizard
80044,PARTS_RACE_BODY_LIZARD,Race,Body,Lizard
80045,PARTS_RACE_ARMS_LIZARD,Race,Arms,Lizard
80046,PARTS_RACE_HEAD_MERMAN,Race,Head,Merman
80047,PARTS_RACE_EARS_MERMAN,Race,Ears,Merman
80048,PARTS_RACE_EYES_MERMAN,Race,Eyes,Merman
80049,PARTS_RACE_BODY_MERMAN,Race,Body,Merman
80050,PARTS_RACE_ARMS_MERMAN,Race,Arms,Merman
80051,PARTS_RACE_HEAD_ORC,Race,Head,Orc
80052,PARTS_RACE_EARS_ORC,Race,Ears,Orc
80053,PARTS_RACE_EYES_ORC,Race,Eyes,Orc
80054,PARTS_RACE_BODY_ORC,Race,Body,Orc
80055,PARTS_RACE_ARMS_ORC,Race,Arms,Orc
80056,PARTS_RACE_HEAD_SKELETON,Race,Head,Skeleton
80057,PARTS_RACE_EARS_SKELETON,Race,Ears,Skeleton
80058,PARTS_RACE_EYES_SKELETON,Race,Eyes,Skeleton
80059,PARTS_RACE_BODY_SKELETON,Race,Body,Skeleton
80060,PARTS_RACE_ARMS_SKELETON,Race,Arms,Skeleton
80061,PARTS_RACE_HEAD_VAMPIRE,Race,Head,Vampire
80062,PARTS_RACE_EARS_VAMPIRE,Race,Ears,Vampire
80063,PARTS_RACE_EYES_VAMPIRE,Race,Eyes,Vampire
80064,PARTS_RACE_BODY_VAMPIRE,Race,Body,Vampire
80065,PARTS_RACE_ARMS_VAMPIRE,Race,Arms,Vampire
80066,PARTS_RACE_HEAD_WEREWOLF,Race,Head,Werewolf
80067,PARTS_RACE_EARS_WEREWOLF,Race,Ears,Werewolf
80068,PARTS_RACE_EYES_WEREWOLF,Race,Eyes,Werewolf
80069,PARTS_RACE_BODY_WEREWOLF,Race,Body,Werewolf
80070,PARTS_RACE_ARMS_WEREWOLF,Race,Arms,Werewolf
80071,PARTS_RACE_HEAD_ZOMBIEA,Race,Head,ZombieA
80072,PARTS_RACE_EARS_ZOMBIEA,Race,Ears,ZombieA
80073,PARTS_RACE_EYES_ZOMBIEA,Race,Eyes,ZombieA
80074,PARTS_RACE_BODY_ZOMBIEA,Race,Body,ZombieA
80075,PARTS_RACE_ARMS_ZOMBIEA,Race,Arms,ZombieA
80076,PARTS_RACE_HEAD_ZOMBIEB,Race,Head,ZombieB
80077,PARTS_RACE_EARS_ZOMBIEB,Race,Ears,ZombieB
80078,PARTS_RACE_EYES_ZOMBIEB,Race,Eyes,ZombieB
80079,PARTS_RACE_BODY_ZOMBIEB,Race,Body,ZombieB
80080,PARTS_RACE_ARMS_ZOMBIEB,Race,Arms,ZombieB
80081,PARTS_HAIR_HAIR_HAIR1,Hair,Hair,Hair1
80082,PARTS_HAIR_HAIR_HAIR2,Hair,Hair,Hair2
80083,PARTS_HAIR_HAIR_HAIR3,Hair,Hair,Hair3
80084,PARTS_HAIR_HAIR_HAIR4,Hair,Hair,Hair4
80085,PARTS_HAIR_HAIR_HAIR5,Hair,Hair,Hair5
80086,PARTS_HAIR_HAIR_HAIR6,Hair,Hair,Hair6
80087,PARTS_HAIR_HAIR_HAIR7,Hair,Hair,Hair7
80088,PARTS_HAIR_HAIR_HAIR8,Hair,Hair,Hair8
80089,PARTS_HAIR_HAIR_HAIR9,Hair,Hair,Hair9
80090,PARTS_HAIR_HAIR_HAIR10,Hair,Hair,Hair10
80091,PARTS_HAIR_HAIR_HAIR11,Hair,Hair,Hair11
80092,PARTS_HAIR_HAIR_HAIR12,Hair,Hair,Hair12
80093,PARTS_HAIR_HAIR_HAIR13,Hair,Hair,Hair13
80094,PARTS_HAIR_HAIR_HAIR14,Hair,Hair,Hair14
80095,PARTS_HAIR_HAIR_HAIR15,Hair,Hair,Hair15
80096,PARTS_HAIR_HAIR_DRACULA,Hair,Hair,Dracula
80097,PARTS_EQUIPMENT_CAPE_CAPE,Equipment,Cape,Cape
80098,PARTS_EQUIPMENT_BACK_BACK_SWORD,Equipment,Back,BackSword
80099,PARTS_EQUIPMENT_BACK_LARGE_BACKPACK,Equipment,Back,LargeBackpack
80100,PARTS_EQUIPMENT_BACK_LEATHER_QUIVER,Equipment,Back,LeatherQuiver
80101,PARTS_EQUIPMENT_BACK_SMALL_BACKPACK,Equipment,Back,SmallBackpack
80102,PARTS_EQUIPMENT_SHIELD_ANCIENT_GREAT_SHIELD,Equipment,Shield,AncientGreatShield
80103,PARTS_EQUIPMENT_SHIELD_BLUE_SHIELD,Equipment,Shield,BlueShield
80104,PARTS_EQUIPMENT_SHIELD_BRASS_ROUND_SHIELD,Equipment,Shield,BrassRoundShield
80105,PARTS_EQUIPMENT_SHIELD_CRUSADER_SHIELD,Equipment,Shield,CrusaderShield
80106,PARTS_EQUIPMENT_SHIELD_DREADNOUGHT,Equipment,Shield,Dreadnought
80107,PARTS_EQUIPMENT_SHIELD_GOLDEN_EAGLE,Equipment,Shield,GoldenEagle
80108,PARTS_EQUIPMENT_SHIELD_GUARDIAN_SHIELD,Equipment,Shield,GuardianShield
80109,PARTS_EQUIPMENT_SHIELD_IRON_BUCKLER,Equipment,Shield,IronBuckler
80110,PARTS_EQUIPMENT_SHIELD_KNIGHT_SHIELD,Equipment,Shield,KnightShield
80111,PARTS_EQUIPMENT_SHIELD_LEGION_SHIELD,Equipment,Shield,LegionShield
80112,PARTS_EQUIPMENT_SHIELD_ROYAL_GREAT_SHIELD,Equipment,Shield,RoyalGreatShield
80113,PARTS_EQUIPMENT_SHIELD_STEEL_SHIELD,Equipment,Shield,SteelShield
80114,PARTS_EQUIPMENT_SHIELD_TOWER_SHIELD,Equipment,Shield,TowerShield
80115,PARTS_EQUIPMENT_SHIELD_WOODEN_BUCKLER,Equipment,Shield,WoodenBuckler
80116,PARTS_EQUIPMENT_ARMOR_ANGEL,Equipment,Armor,Angel
80117,PARTS_EQUIPMENT_ARMOR_APACHE,Equipment,Armor,Apache
